20MICRONS,EQ,43.35,44.15,42.25,42.85,42.95,43.05,40692,1745361.65,06-NOV-2018,353,INE144J01027,
21STCENMGM,EQ,22.9,23.45,22.8,22.8,22.8,23.25,2031,46371.8,06-NOV-2018,26,INE253B01015,
3IINFOTECH,EQ,3.45,3.45,3.3,3.3,3.35,3.4,705204,2363457.05,06-NOV-2018,388,INE748C01020,
3MINDIA,EQ,20397.6,20397.6,19600,19845.7,19800,20077.85,1445,28788376.05,06-NOV-2018,550,INE470A01017,
3PLAND,BE,11.5,11.5,11.5,11.5,11.5,11.5,277,3185.5,06-NOV-2018,1,INE105C01023,
5PAISA,EQ,185.5,187.9,180.7,182.6,182.15,185.3,3019,550042.9,06-NOV-2018,157,INE618L01018,
63MOONS,EQ,78.7,83.75,78.7,81.25,81.1,79.9,374001,30678779.5,06-NOV-2018,4444,INE111B01023,
8KMILES,EQ,80.65,80.65,75.2,80.65,80.65,73.35,1224007,97531623.3,06-NOV-2018,3472,INE650K01021,
A2ZINFRA,EQ,12.35,12.6,12.15,12.45,12.55,12.35,180996,2246225.5,06-NOV-2018,402,INE619I01012,
AARTIDRUGS,EQ,581.1,581.1,570,577.35,578,577.6,11133,6411979.5,06-NOV-2018,791,INE767A01016,
AARTIIND,EQ,1374.4,1406.95,1371,1394.1,1398,1364.1,33405,46458250,06-NOV-2018,2284,INE769A01020,
AARVEEDEN,EQ,24.55,25.25,24.3,24.45,24.4,24.9,4560,111948.95,06-NOV-2018,55,INE273D01019,
AARVI,SM,49,49,49,49,49,47,6000,294000,06-NOV-2018,3,INE754X01016,
AAVAS,EQ,650.2,665.65,649.95,662.35,665,650.2,36501,24019873.15,06-NOV-2018,2883,INE216P01012,
ABAN,EQ,80.6,83.55,79.8,82.2,81.95,80.15,704502,57805411.4,06-NOV-2018,7352,INE421A01028,
ABB,EQ,1319,1331,1302.3,1305.15,1305,1306.95,98447,129597826.3,06-NOV-2018,10658,INE117A01022,
ABBOTINDIA,EQ,7552,7659,7501,7532.4,7514,7600.8,856,6486547,06-NOV-2018,287,INE358A01014,
ABCAPITAL,EQ,106.75,108.85,105.25,107.35,106.6,106.15,1536545,164631780.1,06-NOV-2018,12251,INE674K01013,
ABFRL,EQ,192,192.7,184.05,187.2,186.6,192.5,787200,148009995.2,06-NOV-2018,7843,INE647O01011,
ABGSHIP,BZ,3.3,3.45,3.2,3.35,3.3,3.35,26699,88409.3,06-NOV-2018,72,INE067H01016,
ABMINTLTD,BE,15.7,15.7,15.7,15.7,15.7,16.15,25,392.5,06-NOV-2018,3,INE251C01017,
ACC,EQ,1479,1489.3,1441.8,1447.45,1444.9,1474.35,363874,532993179.55,06-NOV-2018,22324,INE012A01025,
ACCELYA,EQ,960,979.9,960,964.45,963.25,973.55,1900,1838623.1,06-NOV-2018,245,INE793A01012,
ACE,EQ,101.65,101.65,98.05,98.45,98.95,100.35,91993,9145311.75,06-NOV-2018,1273,INE731H01025,
ADANIENT,EQ,168.25,169,162,164.45,164.3,168.5,5834504,963985341.4,06-NOV-2018,29021,INE423A01024,
ADANIGAS,BE,77,79.35,75.7,78.1,78.45,75.6,2528961,197393653.3,06-NOV-2018,9884,INE399L01023,
ADANIGREEN,EQ,45,45.5,42.5,43.1,43.5,43.35,1558886,69501984.2,06-NOV-2018,9159,INE364U01010,
