20MICRONS,EQ,44.4,44.4,42.9,43.05,43.1,43.4,25589,1108912.35,05-NOV-2018,275,INE144J01027,
21STCENMGM,EQ,23.95,23.95,23.05,23.25,23.05,23.5,4903,114697.2,05-NOV-2018,31,INE253B01015,
3IINFOTECH,EQ,3.3,3.5,3.3,3.4,3.4,3.3,1563338,5293597.1,05-NOV-2018,647,INE748C01020,
3MINDIA,EQ,20280,20440,19811,20077.85,19999.95,20282.85,1735,35031334.75,05-NOV-2018,639,INE470A01017,
5PAISA,EQ,189.9,189.9,182.4,185.3,185.3,186.15,1373,255637.1,05-NOV-2018,106,INE618L01018,
63MOONS,EQ,75.6,81.4,75,79.9,79.4,75.75,360724,28515840.4,05-NOV-2018,4131,INE111B01023,
8KMILES,EQ,73.35,73.35,73.35,73.35,73.35,66.7,114649,8409504.15,05-NOV-2018,547,INE650K01021,
A2ZINFRA,EQ,12.8,12.8,12,12.35,12.5,12.05,407545,4993487.65,05-NOV-2018,617,INE619I01012,
AARTIDRUGS,EQ,562.05,599.5,551.5,577.6,576,569.8,23673,13503160.55,05-NOV-2018,1470,INE767A01016,
AARTIIND,EQ,1389.45,1398,1360,1364.1,1363.25,1383.05,52487,72079316.6,05-NOV-2018,14635,INE769A01020,
AARVEEDEN,EQ,25.15,25.15,24,24.9,25,24.5,8860,217735.8,05-NOV-2018,48,INE273D01019,
AAVAS,EQ,656,666,648.9,650.2,650,670.3,103024,67016967.45,05-NOV-2018,1990,INE216P01012,
ABAN,EQ,79,80.95,77.3,80.15,80,79.65,431810,34322604.75,05-NOV-2018,5111,INE421A01028,
ABB,EQ,1325,1335.65,1300,1306.95,1307.5,1318.15,67509,88640922.65,05-NOV-2018,6061,INE117A01022,
ABBOTINDIA,EQ,7600,7700,7533.15,7600.8,7580,7609.3,2663,20368107.65,05-NOV-2018,1122,INE358A01014,
ABCAPITAL,EQ,105.1,107.1,104.25,106.15,106.3,106.35,1193537,126137658.1,05-NOV-2018,12854,INE674K01013,
ABFRL,EQ,194,202.8,190.55,192.5,190.75,193.15,1737317,342343354.35,05-NOV-2018,30797,INE647O01011,
ABGSHIP,BZ,3.5,3.65,3.35,3.35,3.35,3.5,39569,133250.1,05-NOV-2018,66,INE067H01016,
ABSLRIF6RG,MF,7.81,7.81,7.76,7.8,7.8,7.35,18480,144138.6,05-NOV-2018,7,INF209KB1LL4,
ACC,EQ,1447,1480.25,1420.2,1474.35,1474.4,1451.5,513311,748955651.9,05-NOV-2018,18594,INE012A01025,
ACCELYA,EQ,986.95,1000,962.05,973.55,965,972.45,6047,5903645.5,05-NOV-2018,932,INE793A01012,
ACE,EQ,103.35,104.05,99.5,100.35,100.6,103.35,102950,10377421.75,05-NOV-2018,1272,INE731H01025,
ADANIENT,EQ,176.1,176.75,155.8,168.5,167,175.6,12668556,2125874630.5,05-NOV-2018,64352,INE423A01024,
ADANIGAS,BE,72,75.6,72,75.6,75.6,210.95,1636701,122729359.6,05-NOV-2018,1882,INE399L01023,
ADANIGREEN,EQ,41.85,43.35,41.85,43.35,43.35,41.3,664924,28773634.55,05-NOV-2018,1220,INE364U01010,
ADANIPORTS,EQ,334.45,334.45,326.7,329.55,330,333.6,3085488,1016636054.55,05-NOV-2018,57570,INE742F01042,
ADANIPOWER,EQ,49,51,48.6,50.3,50.35,49.85,31165456,1556815774.7,05-NOV-2018,51347,INE814H01011,
ADANITRANS,EQ,179,187,176,182.25,183,178.95,348113,63435541.7,05-NOV-2018,3759,INE931S01010,
ADFFOODS,EQ,225,253.35,225,253.35,253.35,211.15,853504,209386140.15,05-NOV-2018,11876,INE982B01019,
